epoch,train_loss,val_loss,train_rmse,val_rmse,train_mae,val_mae
1,12822.621369583823,8614.622939429248,113.23701413223426,92.8149930745526,94.54775727650166,78.25384924405944
2,11618.524686924558,7891.782738720583,107.78926053612464,88.83570644015042,87.85842943841206,73.19570258777124
3,10859.525410144093,7300.528597283771,104.20904668091006,85.4431307788038,83.61138708751902,69.54677143423365
4,10212.922948550104,6788.090700928331,101.05900726085777,82.38987013540154,80.2712332608583,66.47958978405792
5,9617.480896278917,6302.659041201864,98.06875596375697,79.38928794996126,76.98509133044297,63.0256744608611
6,9072.663617343112,5870.766978816473,95.25053079822239,76.62093042254494,73.82321179444897,60.14120281937653
7,8574.204297158669,5473.94180976849,92.59699939608555,73.98609200227088,71.00784951198216,57.44902087074037
8,8109.230902762769,5106.943432199343,90.05126819075214,71.4628814994144,68.33483659615119,54.86231274593139
9,7675.295784598638,4766.549056745683,87.60876545528215,69.04019884636546,65.74154580138236,52.44281737087408
10,7268.130003844383,4448.717765080608,85.25332840332032,66.69870887116637,63.251685632380784,50.116777415380504
11,6886.295311142444,4153.454733104752,82.98370509408726,64.44730198468166,60.89398930812988,47.84331618777697
12,6529.2752586853885,3881.58822310991,80.80393096059986,62.30239339792581,58.68369019728197,45.82158558292902
13,6194.218774888532,3628.357849270324,78.70335936215513,60.23585185975479,56.59505524646198,43.899302885992896
14,5880.797671939568,3392.7814851868125,76.68635909951371,58.24758780573503,54.63177521893803,42.08051208645324
15,5586.195656414257,3172.250167734757,74.74085667434015,56.32273224671151,52.729880745772526,40.27175015400558
16,5307.854728848058,2970.8448071468138,72.85502541930829,54.505456673133324,50.89877682152984,38.7514991666985
17,5046.792541221082,2775.766846896967,71.0407808320058,52.68554685012738,49.136579617366344,37.04952159778996
18,4798.804731671235,2596.159752134589,69.27340565954033,50.95252449226229,47.440784712106215,35.612118298966614
19,4565.330232521699,2430.1840456190785,67.5672275035886,49.2968969167338,45.79979269912987,34.06302887186736
20,4346.668991780098,2274.9787708086606,65.92927264713374,47.696737527934346,44.31034509891114,32.750193253123086
21,4138.510886858423,2130.224717119212,64.33125901813537,46.154357509548454,42.79684021684159,31.40539535858229
22,3944.8174693989254,2001.2986884455227,62.807781917521375,44.735876971906144,41.43798790977937,30.391816901694302
23,3761.6709195775557,1873.5090057447662,61.33246220051463,43.284050246537305,40.14582660183536,29.08847986048766
24,3588.1644020748054,1760.3622202232007,59.90128881814485,41.956670747608186,38.83717848204405,28.05849555652124
25,3424.144961649373,1656.2277673847227,58.51619401199443,40.696778341592626,37.62467881299061,27.168596486882066
26,3266.1703121555456,1555.9396560780867,57.15041830254216,39.445400949642874,36.376365897483836,26.252398502564372
27,3118.774390305265,1464.3547166297371,55.845988130798304,38.2668879924895,35.25491090918718,25.226554740029034
28,2982.2695244115635,1374.9931809255138,54.61015953475657,37.0809004869827,34.295237827650595,24.42459360136671
29,2853.6850701768794,1312.3616943359375,53.41989395512574,36.22653301567703,33.345966700292635,24.192048909903157
30,2731.351011465542,1233.822132660882,52.26232879872023,35.12580437030421,32.375874492503584,22.9464988801765
31,2618.5659558249836,1158.3585014063456,51.171925465287934,34.03466617151321,31.549390024973633,22.252086536808527
32,2512.6183933443,1141.3535797939908,50.12602511015909,33.78392487254835,30.767972812537824,22.73205924558756
33,2414.81918409044,1041.752984305757,49.140809762258094,32.2761984178087,30.059626640954594,21.361934521961913
34,2315.1187233621795,998.7280892742875,48.11568063908251,31.60265952849993,29.284598908984023,20.925762223148112
35,2229.5340625898284,969.2268209667252,47.2179421680978,31.13240788899447,28.642449174038443,21.002246287749273
36,2142.446059291034,901.5998884354943,46.28656456566024,30.026652967580226,27.913910939985477,19.892088575293208
37,2058.8172815361,860.7402333303885,45.37419180036268,29.33837475611743,27.242839481599912,19.630688581023648
38,1980.1283432356145,825.5336688724882,44.49863304906808,28.732101713457862,26.600498169122606,19.187894266217146
39,1919.738770991805,800.2610782539349,43.81482364442204,28.288886126073166,26.389636567325066,19.174273801024793
40,1853.8944294501641,779.3901085142402,43.056874357646585,27.91755914320305,25.791968041909453,18.400851224045883
41,1792.9557413351438,751.1472302275939,42.34330810571068,27.407065334099414,25.27018338356517,18.616112221715504
42,1716.654556153053,720.8239756539865,41.43253016837196,26.848165219507766,24.458701483234922,18.32935540308871
43,1669.2970960419061,722.3218030859614,40.8570323939699,26.876045153369596,24.167808646161127,18.371846094108154
44,1614.099514751301,705.0399860857751,40.175857361745265,26.552589065584076,23.70087338146872,18.286049691272538
45,1554.0465587180913,677.0381426449801,39.42139721925253,26.019956622657542,23.12296984550064,17.97027587890625
46,1514.5134294059928,672.8643834643376,38.916749985141266,25.939629593815283,22.9811292416542,18.226903938722494
47,1457.6638985126046,650.338061866667,38.17936482594498,25.50172664481107,22.392488482384458,17.369922740535223
48,1412.102144079474,638.2245287906861,37.57794757673008,25.263106079630948,21.931885863151845,17.466364480463973
49,1365.3019306138801,632.3838734521843,36.94999229518025,25.14724385399291,21.50060308255779,17.28804288458416
50,1327.534246104759,606.423677402487,36.43534336471606,24.62567110562648,21.201720790386826,17.04780455498357
