epoch,train_loss,val_loss,train_rmse,val_rmse,train_mae,val_mae
1,7645.333707021524,1726.8318497860635,87.43759893216146,41.555166342899696,67.80140890027405,35.36411708841114
2,2483.24436413212,1376.0882328098735,49.83216194519479,37.095663261490195,38.630135615144546,29.394272037123702
3,1918.7769895105475,1256.6613093518395,43.80384674330038,35.44941902700014,33.00829683015336,26.524546914695236
4,1742.8018235796853,1116.437762421326,41.74687800997442,33.41313757223835,31.195919685619682,25.41835950930719
5,1659.4082934599016,1122.6203618504308,40.73583549480607,33.50552733282123,30.420150954179707,25.331951934142918
6,1604.8710406297007,996.4957686519856,40.06084173641014,31.56732121438222,29.950092229401886,24.44180275467031
7,1553.480493722957,967.290489812352,39.4142168985121,31.10129402150901,29.447247321629263,24.0277291370196
8,1506.7918970572503,1027.7469072038796,38.8174174444572,32.05849196708853,29.000636329178626,24.358963050002867
9,1443.305808108677,958.3851690688751,37.99086479811531,30.95779657968046,28.260835629246923,24.02042021436621
10,1383.8406744933952,881.2977430721367,37.20000906577034,29.68665934510208,27.680768361320155,23.081203693865564
11,1288.6132413464568,907.8105689237636,35.89725952418174,30.129894937151104,26.583691419758022,23.063287637053026
12,1193.3849992293674,822.5712357126996,34.54540489311665,28.68050271025073,25.383214549410187,22.02805527964548
13,1099.6508995397546,701.6035534548585,33.16098459846683,26.487800087112905,24.117947056115568,20.427345630300657
14,1036.9718659757966,850.7180499237733,32.202047543219926,29.167071329219414,23.07428753960552,21.83855231175504
15,1017.8622882457037,817.623619322089,31.903954116154686,28.59411861418514,22.655506045650633,21.350162049085995
16,979.9297378638183,665.04069366082,31.3038294440763,25.788382920625715,22.14464390690919,19.413469533757066
17,953.9562459188886,699.0921449544669,30.886182119499466,26.440350696510567,21.74686266042128,19.843280074065937
18,948.808731329211,732.8075936837417,30.802739023164985,27.07041916342896,21.685282421685887,20.179777261971843
19,912.0998252880788,649.9791646271872,30.20099046865978,25.494688949410367,21.202345401355775,19.199075190537133
20,904.9926036652939,776.4963121484136,30.083094981489086,27.865683414343415,21.066968538329284,20.648611950116518
21,892.9983189687895,1125.8108917460174,29.883077468172342,33.55310554547846,20.92562030190971,24.56570083879317
22,858.8000799852235,645.0430358289798,29.30529098960158,25.397697451323808,20.610911875280966,18.73207364630291
23,834.0050000410306,722.9556453490316,28.87914472488807,26.887834523238045,20.28657835774323,19.835983462904952
24,821.761097798861,741.9929922985273,28.66637573532554,27.239548313041595,20.144118005816015,20.065426479050466
25,802.9632697445417,773.8512387450575,28.336606531914537,27.81818180156743,19.899905315514992,20.62782462943154
26,793.7502775814237,635.4855125818975,28.173574100234845,25.208837985553746,19.83877629539236,18.599648100239722
27,769.8436719194076,833.7234982814649,27.746056871552174,28.87427052379791,19.499960539688733,21.192787524831907
28,777.3935360633137,917.1682740750115,27.88177784975904,30.284786181761486,19.58563010805878,22.137590179816435
29,741.9145385902596,718.6255113373176,27.23810820505454,26.807191410838204,19.182925356152527,19.742331880229028
30,722.1386050018452,735.3229382055605,26.87263673333611,27.116838646965476,18.919322321413134,19.91109222188264
31,710.0719592461605,696.7931348432247,26.647175445929733,26.396839485878317,18.808974946400166,19.40878519743754
32,729.3642041856499,683.7954658191187,27.006743679785792,26.149483088946877,18.98950259475608,19.346135668766237
33,690.5830048956113,800.6295551029569,26.278946038523145,28.295398125895964,18.5100637132906,20.527109234723603
34,664.8473298244105,765.278025955909,25.784633598800866,27.66365894013135,18.195142881447648,20.230748705875612
35,648.992534105309,743.8749063580427,25.475331874291825,27.274070219863457,18.04217593037857,19.898592251728683
36,639.1327003665267,855.0318615454042,25.281073955956195,29.240927850282116,17.92853119637315,21.113093443779608
37,616.4005629789269,726.129300441602,24.827415551742934,26.946786458529743,17.616974849952886,19.76209809319606
38,610.7607577808237,780.6564277331812,24.71357436270245,27.94022955763215,17.527669664817328,20.240490454041872
39,597.3332865822075,1047.111355657974,24.44040275,32.359100044005764,17.356107983403504,23.251387840961186
40,585.6815843134304,779.6226888717241,24.20085916477823,27.9217243176657,17.182747793194334,20.187470974723983
41,558.3020104547368,710.331453057548,23.628415318314023,26.652044069030577,16.86741046679944,19.4037619593091
