epoch,train_loss,val_loss,train_rmse,val_rmse,train_mae,val_mae
1,6012.080743749702,1472.9677928374274,77.5376085764173,38.379262536393625,58.68580123106715,31.544084991977385
2,2086.0899348869407,1164.7700059513008,45.673733533475676,34.128726989902525,34.65126346277081,26.069528444472034
3,1762.027104286528,1143.4920966934167,41.97650657554208,33.81555997900104,31.370095034342796,25.32223913663757
4,1671.970102549869,1095.007662449023,40.88973101586594,33.09089999454567,30.50954183083417,25.14690475650405
5,1610.9945786226356,1184.515904508185,40.137196945260584,34.41679683683804,29.909899124788193,25.930713457699802
6,1571.609125261988,1034.2321888520257,39.643525641168544,32.15948054387735,29.59260284805852,24.539195538733
7,1505.5291987645428,916.8557671358067,38.80114945158897,30.27962627140247,28.898065826755825,23.434649106051346
8,1413.026281723929,869.0037581390156,37.590241841785605,29.478869688965613,27.920953668427753,22.965536998944643
9,1280.496518999439,875.6453401523581,35.784026031169816,29.591305144456843,26.29336911090735,22.76440198380673
10,1146.8664139082045,755.4452815347313,33.86541619275045,27.485364860862433,24.454150191381665,20.742181530791566
11,1038.4435296056347,731.1036631390634,32.22488990835554,27.038928661081663,22.948224052979544,20.41348027833225
12,1002.4170565110155,730.2056572128333,31.660970555417524,27.022317761673097,22.306167928631172,20.20613325720603
13,953.0458050421869,692.3242685182753,30.87143995738111,26.312055573791177,21.796410290249586,19.44475348363004
14,923.7022982245866,814.6202812661169,30.3924710779592,28.541553588866126,21.411546461924665,21.24983360831487
15,899.5036240716273,717.7877319634398,29.991725926855683,26.791560834774817,21.104750359583562,19.828644918054707
16,879.4304615687975,863.004606065074,29.655192826363436,29.376940039171437,20.91004624404026,21.724602286564984
17,876.7807625123463,718.7029142123272,29.61048399659057,26.808635068058337,20.920962161597014,20.139074050418323
18,828.5395914446195,957.4845253494375,28.78436366231881,30.94324684562752,20.375487099298017,23.019402240482695
19,813.3329683901801,842.2936413305605,28.51899311669646,29.02229559029679,20.178816907937964,21.73358885524908
20,797.8078269839773,773.5917694912563,28.245492153332666,27.81351774751364,20.065440510803175,20.64217132344514
21,800.5784261951358,807.3082917080532,28.294494626961193,28.413171095603765,20.086573727868455,21.13874880317371
22,763.1701163863054,806.3072974617731,27.62553377559075,28.39555066311927,19.675107537368593,20.87899004276341
23,742.8396045989009,715.4293700127264,27.255084013792747,26.7475114732703,19.375352120381336,19.816421620711722
24,723.7448135440351,934.460430117283,26.902505711253646,30.568945518569706,19.152819975339753,22.336196414415877
25,711.6880764084342,766.26537377094,26.67748257254485,27.68149876308976,18.984001384977567,20.413684350645628
26,678.6237623443066,779.3589566331038,26.05040810321993,27.917001211324685,18.601271494978796,20.547303887626068
27,675.3911367092269,920.9878995191206,25.98828845286328,30.347782448131536,18.50733838528879,22.270471251098336
28,660.3960623885926,818.9965633774736,25.698172355025417,28.61811599979065,18.322774911225274,21.262483629445867
