model,strategy,constant_prediction,train_rmse,train_mae,val_rmse,val_mae
mean_rul,mean,96.43910217285156,63.75551986694336,51.993560791015625,53.326576232910156,45.03880310058594
median_rul,median,90.0,64.0798568725586,51.753440856933594,52.20613479614258,44.099021911621094
