epoch,train_loss,val_loss,train_rmse,val_rmse,train_mae,val_mae
1,6352.260585055426,3431.4270825374388,79.70107016254818,58.57838408950386,69.99021380903547,48.7075469896088
2,2921.8471171448145,2102.5801408016887,54.054112860584574,45.8538999519309,43.57228399591085,36.947764800055396
3,2202.5849684344525,1550.1876593778652,46.931705364651435,39.37242257440943,38.0013767714421,32.44788985497211
4,1771.8185511129395,1317.3842486915496,42.09297508032593,36.295788305140164,33.41384015794661,29.780659570670654
5,1560.2906229889932,1205.165615091114,39.50051421170354,34.71549531680506,31.069400843549,28.179719882955762
6,1419.4219433505948,1065.0861055332175,37.6752165667378,32.635656964939706,29.377252496552753,26.355408311764595
7,1282.6554854205885,940.3953066501757,35.81417994901724,30.665865496512172,27.73444034505974,24.45859458568918
8,1157.56566336785,826.7024433163967,34.02301667059889,28.752433693800544,26.240604292201223,22.71844169038432
9,1048.0661934311026,751.936943072853,32.37385045729196,27.421468652733626,24.917780583244,21.501473051411597
10,956.7234618684729,691.5315845741328,30.930946669451824,26.29698812742883,23.757764901105066,20.33614806382755
11,882.6967197573608,647.7482149082175,29.710212381559323,25.450898115945094,22.817540299159475,19.4234810901446
12,824.2675277316329,621.0860571826291,28.710059695716986,24.921598206829135,22.020585365435238,18.960540099948425
13,777.8916662279373,588.7123898084122,27.8907093174042,24.263396089756526,21.4083677709115,18.29668779070045
14,740.0248826811345,558.9123194911369,27.203398366401476,23.641326517163478,20.82428078559418,17.633309735062653
15,706.084256641861,558.4992049014364,26.572245984144075,23.63258777411895,20.294980769978906,17.667952260061696
16,679.8559398633975,539.1024907119116,26.07404724747191,23.218580721308346,19.89099927353854,17.24858917758634
17,654.764699649791,546.8503841782549,25.58837039847968,23.384832353007255,19.484620001761446,17.698134890978377
18,633.2091589028744,523.4487367364188,25.163647567530315,22.879002092233367,19.106954919540815,17.071721233190708
19,613.0309797508999,513.16549899001,24.75946242855244,22.653156490652908,18.762323622370797,16.897839833005424
20,594.099287554802,497.1252056392306,24.374152037656653,22.29630475301301,18.424258929613476,16.486395950130845
21,575.8063632419754,491.58382828019944,23.995965561776742,22.171689793071693,18.106888645804517,16.431983182949075
22,559.9337169727157,484.38622718568536,23.662918606391642,22.008776140114772,17.837252657973625,16.361158002559595
23,543.3348554862766,477.1471192003171,23.30954430027058,21.84369747090261,17.550411417223916,16.15793853983611
24,530.580117063986,459.1707581611018,23.03432475815139,21.428270069259018,17.332295610446458,15.878404911106548
25,512.738571659824,462.9783255057113,22.64373139877401,21.516931135868592,16.99221686306431,16.05621293121562
26,499.29874123464407,445.3608085054057,22.344993650360344,21.103573358685153,16.781790287137337,15.600544078425848
27,483.834578939061,434.0925761551612,21.996240109142768,20.834888436350248,16.477346353671372,15.24252352912735
28,472.76611978198594,437.51453621638143,21.743185594157676,20.91684814249942,16.31315478451462,15.471391076272157
29,459.2337003840196,417.2534206548938,21.429738691454443,20.426781945644148,16.06953116219785,14.979541731930013
30,447.34705015346464,408.08020765682306,21.15058037391562,20.200995214514137,15.860195435085306,14.718937283914654
31,436.18941572888343,412.2733331880826,20.88514820940669,20.304515093645616,15.635880627847492,14.882479119708893
32,425.7652629723283,416.9090061327648,20.63408013390295,20.418349740680924,15.44200411508403,15.131714389493238
33,416.48141019164103,390.3463115365698,20.40787618032903,19.757183795687325,15.285639609264233,14.389599639221043
34,405.486875499628,390.9631665516599,20.136704683230274,19.772788537575067,15.083405378935158,14.362774911894483
35,396.54882394595546,385.84251243386115,19.913533688071425,19.64287434246478,14.919610312456774,14.27406501303675
36,385.564403702522,374.69066770968635,19.635793941231967,19.356928157889268,14.686307933883091,14.037945288026245
37,378.2083908894702,370.60333281799166,19.447580592183446,19.251060563459657,14.60122304338993,13.975652941864686
38,369.62493997372417,370.39361154421033,19.225632368630276,19.245612786923942,14.402374438539038,14.049720745506379
39,362.5056053629653,368.72988272296186,19.03957996813389,19.20234055324928,14.315249667770182,14.013548760076024
40,354.4669609362674,355.99980853763947,18.82729297950896,18.86795719037012,14.12925951012075,13.653724204065748
41,346.8475795624225,356.6857819125821,18.623844381932063,18.886126704874723,13.984034395208003,13.857376285170576
42,339.80757116313396,359.10609059228875,18.433870216618484,18.950094738346,13.842138661743983,13.930691893934329
43,333.5349845862486,354.21767434864,18.26294019555035,18.82067146380915,13.756569018971748,13.857339798384016
44,326.26354879369643,340.97017977465043,18.062766919652603,18.465377867096315,13.59362726272888,13.46379406469667
45,321.39774357387904,360.4772165760143,17.927569371609724,18.986237557136334,13.524171880538288,14.183723580283466
46,314.51934782793694,335.44256218721347,17.734693338987764,18.31509110507544,13.377868394847068,13.358446489627903
47,306.3889588466101,335.05450812528653,17.503969802493664,18.30449420566672,13.185512049629015,13.469706565651743
48,301.4389344823584,341.24976570856893,17.361996846053117,18.472946860438075,13.108943351135107,13.54447582589968
49,294.93343951159784,321.40182830885163,17.173626277277545,17.927683294526698,12.934256377610291,13.100616156617702
50,288.0914554343991,317.79037214433066,16.97325706617322,17.826675857947567,12.793618637856396,13.103271782835423
