hidden_dim,target_type,best_epoch,trained_epochs,train_rmse,train_mae,val_rmse,val_mae
64,raw,55,70,33.57178497314453,18.51957130432129,24.711227387066426,16.691496608892688
128,raw,44,59,32.04829788208008,19.064802169799805,23.303940894748514,16.099513196129088
256,raw,17,32,33.46776580810547,20.80049705505371,22.445460467733174,15.487728725144216
