model,target,train_rmse,train_mae,val_rmse,val_mae
mean baseline,raw,63.75551986694336,51.993560791015625,53.326576232910156,45.03880310058594
median baseline,raw,64.0798568725586,51.753440856933594,52.20613479614258,44.099021911621094
cycle-only,raw,48.125625964461285,38.04637396320606,36.68580201674494,30.24214105353142
ridge,raw,36.141395568847656,26.897205352783203,31.25205421447754,25.553787231445312
MLP,raw,32.90156173706055,22.8513126373291,25.73598861694336,19.273906707763672
MLP,capped_125,16.748281478881836,12.542713165283203,17.826675415039062,13.103272438049316
GRU,raw,36.109954833984375,20.91155242919922,24.62567138671875,17.04780387878418
GRU,capped_125,13.41557502746582,10.819977760314941,15.63780403137207,12.21384334564209
LSTM,raw,35.611610412597656,19.76186180114746,25.83534049987793,17.7635498046875
