model,hidden_dim,target_type,best_epoch,trained_epochs,train_rmse,train_mae,val_rmse,val_mae
gru,64,raw,61,72,30.81472396850586,17.590656280517578,23.638883795498938,16.69054735552128
gru,128,raw,33,48,32.28949737548828,19.301061630249023,22.88258909196003,16.07034048066454
gru,256,raw,30,32,29.68282699584961,18.88804817199707,22.088958757590785,15.305558407510697
lstm,64,raw,55,70,33.57178497314453,18.51957130432129,24.711227387066426,16.691496608892688
lstm,128,raw,44,59,32.04829788208008,19.064802169799805,23.303940894748514,16.099513196129088
lstm,256,raw,17,32,33.46776580810547,20.80049705505371,22.445460467733174,15.487728725144216
