model,target,train_rmse,train_mae,val_rmse,val_mae
mean baseline,raw,63.75551986694336,51.993560791015625,53.326576232910156,45.03880310058594
median baseline,raw,64.0798568725586,51.753440856933594,52.20613479614258,44.099021911621094
cycle-only,raw,48.12562596446128,38.04637399848554,36.68580195309199,30.242140977032456
ridge,raw,36.141395568847656,26.897205352783203,31.25205421447754,25.553787231445312
MLP,raw,30.897201538085938,21.017314910888672,23.856833740970764,18.014786027754432
GRU,raw,30.81472396850586,17.590656280517578,23.638883795498938,16.69054735552128
LSTM,raw,33.57178497314453,18.51957130432129,24.711227387066426,16.691496608892688
CNN,raw,29.40040397644043,19.843584060668945,25.208837985553746,18.599648100239722
