epoch,train_loss,val_loss,train_rmse,val_rmse,train_mae,val_mae
1,11489.2055419905,6844.150604322662,107.18771171169995,82.72938174749441,87.24662880277855,66.9616576849977
2,8927.474564832295,5170.096032625305,94.48531401668883,71.90337984146021,73.86294348189277,57.17506882497326
3,7129.72357952335,3944.5003486017727,84.43769051509729,62.80525733250181,64.91901187328178,50.165441984069375
4,5749.391676025475,3138.222171550275,75.824743164916,56.019837303854025,58.360259370245174,45.71336487861018
5,4792.872163078846,2738.9390394588554,69.2305724595633,52.3348740273525,54.080017136277576,43.74609554076253
6,4225.983455981676,2616.0562347188265,65.00756460583396,51.147397145102374,51.938421787468016,43.216461703946365
7,3178.7308776209616,1144.2345931745683,56.38023481346066,33.826536819109464,42.04761324720978,24.478314164215313
8,2191.347206407517,907.924943322366,46.811827633702976,30.131792899234622,31.558071411647806,21.52096289002808
9,1841.426969719606,764.4224269279349,42.91185115698932,27.648190301137884,28.47709135597314,19.59930994458187
10,1609.7157772050225,676.9966444094781,40.12126340489569,26.019159179525346,26.090694451498635,18.785674377292175
11,1471.4303529051974,589.2527733688542,38.35922774125149,24.27452931302385,24.544668650229745,17.215221600893948
12,1370.1705060800962,569.575239932333,37.015814270121034,23.86577549404865,23.477661462070554,16.74522843862221
13,1308.3278398794112,603.8070467550189,36.17081475277286,24.572485563227396,22.916333350578576,17.920161240258253
14,1253.8949920846364,597.6074171742483,35.41037972240112,24.44601025063698,22.514849926543373,17.232094911607962
15,1213.5709860691086,545.0560520610483,34.836345762279784,23.34643553224021,22.231943403951476,16.527021338129394
16,1171.2111947476283,529.7084240901733,34.22296297440694,23.0153953711461,21.735816170940243,15.988642909416068
17,1140.9786930022228,503.79869560857276,33.77837611553023,22.445460467733174,21.433891736980428,15.487728725144216
18,1114.5753604311924,629.5024643130873,33.385256632699296,25.08988769032431,21.342557815687893,17.745045109308144
19,1064.6231175641713,522.4350077062481,32.628562909882675,22.856837220102175,20.964167268223942,16.354194249383976
20,1037.7844452974387,670.0946657138816,32.214661961557795,25.88618677429879,20.684359941931714,18.298623978071515
21,1033.7042662928366,718.7335332669956,32.15127161237696,26.809206128995978,20.649441146085483,18.664267393079538
22,1022.922654117421,640.3586257897263,31.98316204063352,25.305308253205023,20.403089865632996,18.099259430155485
23,966.0515442464401,580.2941358794793,31.08136972925164,24.08929504737487,19.914328810667232,16.718185387497133
24,948.1317303554177,548.3696850168093,30.79174776389638,23.417294570825412,19.81557131911785,16.462153576988463
25,921.2722110390803,548.1781782975698,30.35246630900165,23.413205211964677,19.530573484453885,15.881247597393605
26,923.9397786472405,738.7500051484423,30.396377722472796,27.179955944564043,19.594186511753062,19.0479050615306
27,901.2377787937687,650.8165365279741,30.020622558397566,25.511106140815887,19.400971098504822,17.420941341185628
28,856.5434187782182,599.4674938546999,29.266763038952877,24.484025278836402,18.939748123330407,16.882697070431885
29,838.3983337626071,629.5063840684214,28.95510894061024,25.089965804449026,18.580062050453005,17.45697021484375
30,818.3040623655952,693.1804712570676,28.606014443917125,26.32832070712197,18.36181508921779,17.834862818636346
31,797.7537869488322,770.4014763493992,28.244535523687272,27.75610700997889,18.179449150939725,19.045120575025788
32,775.1623770153632,655.5139262378945,27.841738038695844,25.60300619532586,17.91485521831126,17.686975903499388
